Real time ,Mid-span strain
17:07:32,3536
17:07:33,3581
17:07:34,3652
17:07:35,3730
17:07:36,3776
17:07:37,3842
17:07:38,3881
17:07:39,3922
17:07:40,3957
17:07:41,4003
17:07:42,4055
17:07:43,4093
17:07:44,4164
17:07:45,4219
17:07:46,4253
17:07:47,4286
17:07:48,4347
17:07:49,4382
17:07:50,4413
17:07:51,4454
17:07:52,4534
17:07:53,4602
17:07:54,4637
17:07:55,4720
17:07:56,4770
17:07:57,4848
17:07:58,4872
17:07:59,5000
17:08:00,5077
17:08:01,5192
17:08:02,5304
17:08:03,5442
17:08:04,5514
17:08:05,5569
17:08:06,5637
17:08:07,5678
17:08:08,5731
17:08:09,5796
17:08:10,5857
17:08:11,5917
17:08:12,5989
17:08:13,6051
17:08:14,6104
17:08:15,6165
17:08:16,6226
17:08:17,6292
17:08:18,6349
17:08:19,6416
17:08:20,6474
17:08:21,6533
17:08:22,6598
17:08:23,6669
17:08:24,6747
17:08:25,6815
17:08:26,6883
17:08:27,6946
17:08:28,7010
17:08:29,7061
17:08:30,7075
17:08:31,7057
17:08:32,7086
17:08:33,7125
17:08:34,7163
17:08:35,7200
17:08:36,7242
17:08:37,7274
17:08:38,7311
17:08:39,7355
17:08:40,7385
17:08:41,7409
17:08:42,7435
17:08:43,7449
17:08:44,7472
17:08:45,7501
17:08:46,7534
17:08:47,7556
17:08:48,7584
17:08:49,7615
17:08:50,7643
17:08:51,7668
17:08:52,7701
17:08:53,7732
17:08:54,7766
17:08:55,7797
17:08:56,7829
17:08:57,7874
17:08:58,7922
17:08:59,7949
17:09:00,7983
17:09:01,8017
17:09:02,8054
17:09:03,8085
17:09:04,8113
17:09:05,8147
17:09:06,8170
17:09:07,8204
17:09:08,8225
17:09:09,8255
17:09:10,8288
17:09:11,8324
17:09:12,8350
17:09:13,8378
17:09:14,8416
17:09:15,8441
17:09:16,8476
17:09:17,8509
17:09:18,8543
17:09:19,8574
17:09:20,8601
17:09:21,8636
17:09:22,8665
17:09:23,8695
17:09:24,8732
17:09:25,8779
17:09:26,8810
17:09:27,8836
17:09:28,8841
17:09:29,8854
17:09:30,8877
17:09:31,8903
17:09:32,8906
17:09:33,8933
17:09:34,8962
17:09:35,8983
17:09:36,9012
17:09:37,9042
17:09:38,9071
17:09:39,9105
17:09:40,9138
17:09:41,9171
17:09:42,9189
17:09:43,9212
17:09:44,9240
17:09:45,9267
17:09:46,9300
17:09:47,9332
17:09:48,9365
17:09:49,9408
17:09:50,9427
17:09:51,9459
17:09:52,9490
17:09:53,9520
17:09:54,9550
17:09:55,9577
17:09:55,9612
17:09:57,9650
17:09:58,9663
17:09:59,9698
17:10:00,9733
17:10:01,9754
17:10:02,9759
17:10:02,9797
17:10:04,9811
17:10:05,9828
17:10:05,9833
17:10:06,9854
17:10:08,9869
17:10:08,9873
17:10:09,9878
17:10:10,9889
17:10:11,9890
17:10:12,9891
17:10:13,9892
17:10:14,9929
17:10:15,9925
17:10:16,9940
17:10:17,9939
17:10:18,9947
17:10:19,9955
17:10:20,9963
17:10:21,9980
17:10:22,9976
17:10:23,9991
17:10:24,10006
17:10:25,10021
17:10:26,9994
17:10:27,10021
17:10:28,10016
17:10:29,10028
17:10:30,10040
17:10:31,10047
17:10:32,10054
17:10:33,10061
17:10:34,10066
17:10:36,10071
17:10:36,10082
17:10:37,10093
17:10:38,10104
17:10:39,10115
17:10:40,10119
17:10:41,10127
17:10:42,10132
17:10:43,10137
17:10:44,10142
17:10:45,10147
17:10:46,10171
17:10:47,10180
17:10:48,10200
17:10:49,10204
17:10:50,10208
17:10:51,10212
17:10:52,10222
17:10:53,10232
17:10:54,10233
17:10:55,10234
